Rəng,R,G,B,W,D
Red,2075,2982,2784,1799,4095
Red,2075,2983,2782,1800,4095
Red,2074,2984,2787,1800,4095
Red,2075,2983,2780,1800,4095
Red,2073,2982,2779,1801,4095
Red,2073,2982,2785,1800,4095
Red,2073,2981,2780,1793,4095
Red,2072,2983,2781,1794,4095
Red,2072,2982,2781,1796,4095
Red,2075,2980,2783,1793,4095
Red,2075,2982,2782,1794,4095
Red,2073,2985,2781,1794,4095
Red,2074,2983,2781,1795,4095
Red,2071,2981,2783,1792,4095
Red,2074,2983,2782,1793,4095
Red,2071,2980,2786,1791,4095
Red,2072,2982,2780,1791,4095
Red,2073,2982,2781,1792,4095
Red,2071,2982,2784,1789,4095
Red,2071,2982,2784,1790,4095
Red,2072,2984,2782,1795,4095
Red,2069,2982,2780,1791,4095
Red,2070,2982,2781,1790,4095
Red,2067,2980,2780,1789,4095
Red,2077,2989,2780,1788,4095
Red,2071,2983,2779,1787,4095
Red,2071,2982,2782,1788,4095
Red,2071,2979,2781,1788,4095
Red,2071,2982,2783,1788,4095
Red,2071,2982,2782,1787,4095
Red,2072,2983,2781,1792,4095
Red,2073,2982,2782,1798,4095
Red,2074,2985,2782,1795,4095
Red,2075,2985,2780,1800,4095
Red,2072,2982,2781,1800,4095
Red,2074,2984,2782,1799,4095
Red,2077,2982,2781,1799,4095
Red,2075,2986,2782,1800,4095
Red,2077,2984,2787,1801,4095
Red,2077,2985,2783,1804,4095
Red,2077,2984,2783,1804,4095
Red,2076,2984,2782,1804,4095
Red,2077,2984,2781,1804,4095
Red,2077,2984,2788,1805,4095
Red,2077,2983,2782,1805,4095
Red,2077,2984,2785,1803,4095
Red,2078,2985,2783,1805,4095
Red,2076,2984,2781,1802,4095
Red,2082,2984,2781,1803,4095
Red,2078,2982,2781,1803,4095
Red,2076,2985,2781,1803,4095
Red,2079,2985,2782,1804,4095
Red,2077,2985,2780,1804,4095
Red,2077,2983,2783,1806,4095
Red,2077,2986,2782,1805,4095
Red,2077,2984,2782,1803,4095
Red,2077,2984,2781,1805,4095
Red,2078,2983,2782,1806,4095
Red,2077,2983,2782,1800,4095
Red,2078,2983,2782,1804,4095
Red,2077,2986,2782,1804,4095
Red,2079,2986,2781,1805,4095
Red,2077,2983,2782,1805,4095
Red,2078,2983,2787,1804,4095
Red,2078,2984,2780,1804,4095
Red,2077,2984,2779,1808,4095
Red,2078,2985,2783,1804,4095
Red,2074,2983,2781,1803,4095
Red,2076,2985,2782,1804,4095
Red,2080,2984,2782,1805,4095
Red,2076,2983,2781,1804,4095
Red,2077,2985,2781,1804,4095
Red,2077,2987,2784,1805,4095
Red,2077,2979,2781,1806,4095
Red,2077,2984,2782,1813,4095
Red,2078,2985,2783,1804,4095
Red,2075,2983,2780,1804,4095
Red,2079,2983,2781,1801,4095
Red,2080,2986,2779,1804,4095
Red,2081,2984,2781,1804,4095
Red,2077,2984,2777,1804,4095
Red,2078,2982,2778,1805,4095
Red,2077,2985,2778,1804,4095
Red,2077,2984,2780,1802,4095
Red,2078,2983,2781,1803,4095
Red,2075,2985,2779,1807,4095
Red,2074,2983,2781,1804,4095
Red,2080,2983,2781,1804,4095
Red,2077,2984,2780,1804,4095
Red,2077,2983,2784,1804,4095
Red,2077,2984,2781,1805,4095
Red,2076,2984,2778,1805,4095
Red,2076,2983,2780,1803,4095
Red,2076,2984,2780,1801,4095
Red,2076,2983,2780,1804,4095
Red,2075,2985,2781,1804,4095
Red,2079,2988,2780,1804,4095
Red,2077,2984,2781,1804,4095
Red,2076,2985,2781,1803,4095
Red,2076,2984,2780,1804,4095
Red,2077,2986,2781,1804,4095
Red,2078,2983,2779,1804,4095
Red,2078,2983,2783,1798,4095
Red,2078,2986,2780,1803,4095
Red,2077,2987,2779,1804,4095
Red,2077,2984,2781,1806,4095
Red,2077,2986,2779,1802,4095
Red,2076,2979,2779,1804,4095
Red,2076,2983,2779,1802,4095
Red,2077,2983,2778,1804,4095
Red,2076,2983,2782,1804,4095
Red,2076,2984,2781,1807,4095
Red,2072,2984,2781,1803,4095
Red,2077,2984,2780,1804,4095
Red,2076,2982,2780,1803,4095
Red,2076,2982,2781,1803,4095
Red,2076,2983,2779,1805,4095
Red,2076,2985,2780,1806,4095
Red,2077,2985,2779,1804,4095
Red,2078,2985,2780,1805,4095
Red,2073,2983,2780,1804,4095
Red,2076,2983,2777,1803,4095
Red,2076,2984,2780,1802,4095
Red,2076,2985,2780,1803,4095
Red,2077,2984,2779,1801,4095
Red,2076,2983,2784,1802,4095
Red,2077,2984,2780,1804,4095
Red,2078,2984,2781,1804,4095
Red,2073,2986,2780,1802,4095
Red,2078,2983,2781,1803,4095
Red,2077,2988,2782,1803,4095
Red,2076,2984,2782,1804,4095
